Date,Open,High,Low,Close,Adj Close,Volume
2023-04-14,93.860001,95.639999,93.809998,95.440002,95.369476,5755600
2023-04-17,95.620003,96.849998,95.480003,96.769997,96.698494,6126100
2023-04-18,97.000000,98.519997,96.860001,98.470001,98.397240,7110800
2023-04-19,98.580002,99.309998,98.419998,99.029999,98.956825,5617000
2023-04-20,99.300003,100.470001,99.059998,99.760002,99.686287,6912400
2023-04-21,99.980003,100.080002,99.129997,99.510002,99.436470,4080400
2023-04-24,99.580002,100.769997,99.580002,100.150002,100.075996,6251800
2023-04-25,101.949997,102.010002,97.550003,98.440002,98.367264,9297500
2023-04-26,98.230003,98.449997,96.089996,96.209999,96.138908,6410500
2023-04-27,97.019997,98.190002,96.599998,98.059998,97.987541,7461000
2023-04-28,97.129997,99.720001,96.879997,98.970001,98.896873,5010800
2023-05-01,99.489998,102.000000,99.370003,101.180000,101.105240,5912400
2023-05-02,100.610001,102.029999,100.190002,101.510002,101.434998,5973700
2023-05-03,101.879997,102.949997,101.309998,101.769997,101.694794,4722700
2023-05-04,101.489998,101.750000,97.410004,99.320000,99.246613,7227000
2023-05-05,100.580002,101.760002,99.750000,100.239998,100.165932,5029000
2023-05-08,100.220001,101.110001,100.220001,100.919998,100.845428,3417500
2023-05-09,100.769997,101.900002,100.769997,101.000000,100.925369,5204100
2023-05-10,101.480003,101.669998,98.459999,99.540001,99.466446,4032900
2023-05-11,99.400002,99.980003,98.820000,99.510002,99.436470,4084300
2023-05-12,99.580002,100.000000,97.709999,98.800003,98.726997,3457700
2023-05-15,99.139999,102.309998,99.019997,102.000000,101.924629,6363700
2023-05-16,101.230003,102.230003,100.889999,101.129997,101.055267,4408500
2023-05-17,101.870003,103.580002,101.550003,103.470001,103.393547,5484200
2023-05-18,102.889999,104.279999,101.730003,104.010002,103.933144,4606800
2023-05-19,104.519997,105.779999,103.839996,104.260002,104.182961,5770200
2023-05-22,104.099998,105.940002,104.099998,104.550003,104.472748,3987300
2023-05-23,103.860001,104.139999,101.279999,101.699997,101.624847,4579600
2023-05-24,101.279999,101.470001,99.910004,100.980003,100.905388,5008300
2023-05-25,101.400002,102.089996,100.540001,101.519997,101.444984,5377100
2023-05-26,101.589996,103.949997,101.559998,102.739998,102.664078,5424200
2023-05-30,103.019997,103.070000,100.660004,102.400002,102.324333,5665100
2023-05-31,101.320000,101.839996,99.709999,101.529999,101.454979,10661400
2023-06-01,101.209999,105.169998,101.070000,104.669998,104.592659,6222700
2023-06-02,105.500000,106.709999,104.540001,105.800003,105.721825,5967500
2023-06-05,105.800003,105.800003,104.099998,104.099998,104.023079,4077200
2023-06-06,104.330002,106.110001,104.099998,105.459999,105.382072,6220300
2023-06-07,106.639999,107.330002,105.639999,106.080002,106.001617,7279400
2023-06-08,105.839996,107.220001,105.629997,106.070000,105.991623,3573500
2023-06-09,106.290001,106.550003,105.080002,106.300003,106.221458,3483700
2023-06-12,106.309998,106.889999,105.650002,106.230003,106.151505,3733000
2023-06-13,106.029999,107.150002,105.809998,106.739998,106.661125,4318900
2023-06-14,106.720001,106.800003,103.959999,104.699997,104.622635,5131100
2023-06-15,104.440002,105.639999,103.989998,105.410004,105.332115,6969800
2023-06-16,105.949997,108.900002,105.940002,106.290001,106.211464,10958600
2023-06-20,106.080002,106.209999,103.410004,104.019997,103.943138,6439300
2023-06-21,103.639999,105.690002,103.580002,105.050003,104.972382,4775400
2023-06-22,104.660004,105.790001,104.639999,104.820000,104.742546,4223500
2023-06-23,103.089996,104.370003,102.639999,103.779999,103.703316,6011900
2023-06-26,103.529999,105.110001,103.360001,104.449997,104.372818,4250900
2023-06-27,104.629997,105.209999,104.360001,104.919998,104.842468,4767300
2023-06-28,105.290001,107.370003,104.970001,107.050003,106.970901,4795700
2023-06-29,106.220001,107.830002,106.040001,107.739998,107.660385,3248800
2023-06-30,108.989998,110.260002,108.599998,109.849998,109.768829,7381500
2023-07-03,109.059998,109.330002,107.309998,108.279999,108.199989,2972000
2023-07-05,108.220001,108.989998,107.760002,108.650002,108.569717,3661800
2023-07-06,108.010002,108.750000,106.860001,107.370003,107.290665,3666700
2023-07-07,107.139999,108.870003,106.940002,108.269997,108.189995,3863800
2023-07-10,108.410004,110.730003,108.370003,110.529999,110.529999,4633200
2023-07-11,110.730003,111.529999,110.230003,111.220001,111.220001,3790000
2023-07-12,111.290001,111.970001,110.889999,111.199997,111.199997,4312800
2023-07-13,111.250000,111.820000,110.820000,111.279999,111.279999,2775000
2023-07-14,111.000000,111.220001,110.029999,110.279999,110.279999,2717600
2023-07-17,110.419998,112.150002,110.150002,111.139999,111.139999,3637200
2023-07-18,110.900002,111.830002,110.519997,111.059998,111.059998,3573900
2023-07-19,110.330002,110.809998,108.830002,109.889999,109.889999,4473200
2023-07-20,110.040001,111.839996,109.959999,111.239998,111.239998,4117200
2023-07-21,111.440002,111.879997,109.820000,110.330002,110.330002,8198600
2023-07-24,110.400002,110.980003,110.059998,110.250000,110.250000,5337000
2023-07-25,114.500000,117.959999,113.629997,117.160004,117.160004,17022400
2023-07-26,117.139999,117.389999,113.449997,114.720001,114.720001,7541700
2023-07-27,115.559998,117.260002,114.930000,115.419998,115.419998,6187000
2023-07-28,115.529999,115.849998,114.019997,114.389999,114.389999,4469900
2023-07-31,114.440002,114.750000,113.720001,114.239998,114.239998,4125500
2023-08-01,113.690002,114.199997,112.269997,113.220001,113.220001,5263400
2023-08-02,112.970001,113.500000,111.930000,111.970001,111.970001,4291600
2023-08-03,111.830002,113.169998,111.550003,112.360001,112.360001,3469600
2023-08-04,112.820000,113.870003,111.800003,113.059998,113.059998,4882100
2023-08-07,113.540001,114.980003,113.540001,114.730003,114.730003,3304800
2023-08-08,114.389999,114.830002,113.120003,113.550003,113.550003,3779300
2023-08-09,113.900002,113.930000,111.980003,112.169998,112.169998,3112700
2023-08-10,112.449997,115.040001,112.449997,113.570000,113.570000,4671600
2023-08-11,113.540001,115.389999,113.449997,114.599998,114.599998,3560400
2023-08-14,114.500000,115.849998,114.199997,115.550003,115.550003,3923400
2023-08-15,114.650002,114.660004,113.470001,113.849998,113.849998,3413100
2023-08-16,113.730003,115.339996,113.470001,113.570000,113.570000,3683100
2023-08-17,113.980003,114.389999,110.940002,110.959999,110.959999,4577000
2023-08-18,110.300003,111.930000,110.019997,111.790001,111.790001,4508400
2023-08-21,112.040001,112.480003,111.019997,112.019997,112.019997,2941800
2023-08-22,112.150002,113.050003,110.839996,111.660004,111.660004,2640400
2023-08-23,111.500000,113.760002,111.500000,113.470001,113.470001,2847600
2023-08-24,113.199997,113.959999,111.019997,111.040001,111.040001,3361500
2023-08-25,111.449997,112.370003,110.220001,111.970001,111.970001,3112600
2023-08-28,112.550003,114.279999,112.150002,113.959999,113.959999,2812700
2023-08-29,113.669998,115.669998,112.919998,115.330002,115.330002,4655000
